service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"49958",1,1,0,1,1,0,0,20260628,20260830
"49957",1,1,1,1,0,0,0,20260628,20260830
"26HIV03-T1T2T3-Samedi-00",0,0,0,0,0,1,0,20260829,20260829
"26ETE01-T1T2T3-Samedi-00",0,0,0,0,0,1,0,20260704,20260822
"49954",0,0,1,0,0,1,0,20260628,20260830
"49953",1,1,0,1,1,1,0,20260628,20260830
"49678",1,1,1,1,1,0,0,20260628,20260830
"49952",1,1,1,1,1,0,0,20260628,20260830
"49959",1,0,0,0,0,0,0,20260628,20260830
"26ETE01-_ST_EMAR-Mardi-01-0100000",0,1,0,0,0,0,0,20260630,20260630
"59126",1,1,1,1,1,0,0,20260628,20260830
"59006",0,0,0,0,0,0,1,20260628,20260830
"49673",0,0,1,0,0,0,0,20260628,20260830
"59529",1,1,1,1,1,0,0,20260628,20260830
"26ETE01-_ST_EJEU-Jeudi-01-0001000",0,0,0,1,0,0,0,20260702,20260702
"26ETE01-_ST_EMAR-Mardi-01",0,1,0,0,0,0,0,20260630,20260630
"49944",0,0,0,0,0,1,0,20260628,20260830
"49943",1,1,1,1,1,1,0,20260628,20260830
"26HIV02-T1T2T3-Dimanche-02",0,0,0,0,0,0,1,20260628,20260830
"49667",1,1,1,1,1,0,0,20260628,20260830
"59530",1,1,1,1,1,1,0,20260628,20260830
"49949",0,0,0,0,0,1,0,20260628,20260830
"58601",1,1,1,1,1,0,0,20260628,20260830
"58603",1,1,0,1,1,0,0,20260628,20260830
"59532",0,0,0,0,0,1,0,20260628,20260830
"26ETE01-T1T2T3-Semaine-00",1,1,1,1,1,0,0,20260713,20260821
"58600",1,1,1,1,1,0,0,20260628,20260830
"58445",0,0,0,0,0,1,0,20260628,20260830
"26ETE01-_ST_EDIM-Dimanche-00",0,0,0,0,0,0,1,20260705,20260830
"49932",1,1,0,1,1,0,0,20260628,20260830
"49898",1,1,1,1,1,1,0,20260628,20260830
"49897",1,1,1,1,1,0,0,20260628,20260830
"49930",0,0,1,0,0,0,0,20260628,20260830
"26HIV02-_ST_HDIM-Dimanche-01",0,0,0,0,0,0,1,20260628,20260628
"26ETE01-_ST_ELUN-Lundi-01",1,0,0,0,0,0,0,20260629,20260629
"26ETE01-_ST_ELUN-Lundi-01-1000000",1,0,0,0,0,0,0,20260629,20260629
"26ETE01-_ST_EVEN-Vendredi-01",0,0,0,0,1,0,0,20260703,20260703
"26ETE01-_ST_EVEN-Vendredi-00",0,0,0,0,1,0,0,20260710,20260828
"58981",0,0,0,0,0,1,0,20260628,20260830
"58504",1,1,1,1,1,1,0,20260628,20260830
"59435",1,1,1,1,1,1,0,20260628,20260830
"26ETE01-_ST_ESEM-L-Ma-Me-J-00",1,1,1,1,0,0,0,20260706,20260827
"58906",1,1,1,1,1,1,0,20260628,20260830
"58507",1,1,0,1,1,0,0,20260628,20260830
"58506",0,0,1,0,0,0,0,20260628,20260830
"58508",1,1,1,1,1,0,0,20260628,20260830
"49914",0,0,1,1,0,0,0,20260628,20260830
"26ETE01-T1T2T3-Dimanche-00",0,0,0,0,0,0,1,20260705,20260823
"49913",0,0,0,1,1,0,0,20260628,20260830
"49878",1,1,0,1,1,0,0,20260628,20260830
"49910",1,1,1,1,1,0,0,20260628,20260830
"49877",0,0,0,0,0,1,0,20260628,20260830
"49874",1,1,1,1,1,0,0,20260628,20260830
"58992",0,0,0,0,0,0,1,20260628,20260830
"49918",0,0,0,0,0,0,1,20260628,20260830
"49917",1,1,1,1,1,1,0,20260628,20260830
"49916",1,1,1,1,1,0,0,20260628,20260830
"26HIV02-T1T2T3-Samedi-00",0,0,0,0,0,1,0,20260628,20260829
"58910",1,1,1,1,1,1,0,20260628,20260830
"58598",1,1,1,1,1,1,0,20260628,20260830
