route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
"T1","TWISTO","T1","HÉROUVILLE Saint-Clair - IFS Jean Vilar",,0,,23a638,ffffff,1001
"T2","TWISTO","T2","CAEN Campus 2 - CAEN Presqu'île",,0,,e73132,ffffff,1002
"T3","TWISTO","T3","CAEN Château Quatrans - FLEURY Hauts de l'Orne",,0,,009adf,ffffff,1003
"NVCV","TWISTO","NVCV","CAEN Palais des Sports / CAEN Château Quatrans",,3,,e84133,ffffff,1004
"1","TWISTO","1","CAEN Chemin Vert - MONDEVILLE Centre Commercial",,3,,d8005b,ffffff,1005
"2","TWISTO","2","CAEN Mémorial - CAEN Beaulieu Brazza",,3,,0975b8,ffffff,1006
"3","TWISTO","3","CARPIQUET Aéroport - IFS Jean Vilar",,3,,c4ce10,000000,1007
"4","TWISTO","4","HÉROUVILLE Centre Commercial - IFS Jean Vilar",,3,,da609f,ffffff,1008
"5","TWISTO","5","HÉROUVILLE Sphère / BIEVILLE Stade - CAEN Théâtre / CAEN Place de la Mare",,3,,642580,ffffff,1009
"6A","TWISTO","6A","HÉROUVILLE Saint-Clair",,3,,fcdd19,000000,1010
"6B","TWISTO","6B","HÉROUVILLE Saint-Clair",,3,,fcdd19,000000,1011
"7","TWISTO","7","BIÉVILLE ZA au Village / CAMBES Le Parc - CAEN Théâtre  / CAEN Place de la Mare",,3,,8d5e2a,ffffff,1012
"8","TWISTO","8","HEROUVILLE Sphère - CAEN Poincaré",,3,,00804b,ffffff,1013
"9","TWISTO","9","ST-GERMAIN Place des Canadiens - COLOMBELLES Mairie",,3,,86bce7,000000,1014
"10","TWISTO","10","BLAINVILLE Parc - MONDEVILLE Charlotte Corday",,3,,b0368c,ffffff,1015
"11","TWISTO","11","BRETTEVILLE Koenig - CUVERVILLE Champ Picot",,3,,ea5b0c,ffffff,1017
"11EX","TWISTO","11EX","CUVERVILLE Champ Picot - CAEN Tour Leroy",,3,,f39869,000000,1018
"12","TWISTO","12","LION-SUR-MER Plage - CAEN Gare SNCF",,3,,009d99,ffffff,1019
"20","TWISTO","20","CAEN Calvaire St-Pierre - ROTS Bonny",,3,,f59c00,000000,1020
"21","TWISTO","21","ST GERMAIN Ardenne - MONDEVILLE Village Oxylane",,3,,153f8d,ffffff,1021
