stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"ARCOM@FLU020",,"Fleury Château d'Eau",,"",49.152054,-0.371624,,,1,,,1,,
"COM_monu01",,"Monument",,"",49.157124,-0.336621,,,1,,,1,,
"1150748",,"Clair Soleil",,"",49.172516,-0.320213,,,1,,,1,,
"COM_vauc02_1",,"Vaucelles",,"",49.173874,-0.353894,,,1,,,2,,
"COM_laen02",,"Laennec",,"",49.204865,-0.347591,,,1,,,1,,
"COM_impd01_1",,"IMP",,"",49.177570,-0.272259,,,1,,,1,,
"COM_oupb01",,"Moulin Carnot (anc.  Petit Bonheur)",,"",49.274948,-0.260858,,,1,,,2,,
"COM_baud02",,"Baudry",,"",49.285553,-0.317730,,,1,,,2,,
"COM_egcu01",,"Cuverville Eglise",,"",49.189014,-0.264394,,,1,,,1,,
"COM_tasp12_1",,"Tampleu",,"",49.161575,-0.298523,,,1,,,1,,
"ARCOM@C051",,"Harris",,"",49.205154,-0.350810,,,1,,,1,,
"COM_corfre02",,"La Fresnaye",,"",49.154301,-0.328071,,,1,,,1,,
"COM_fmar01_1",,"Ferme Marais",,"",49.179066,-0.300901,,,1,,,2,,
"COM_epro01_1",,"Germes de Blé",,"",49.221001,-0.367560,,,1,,,1,,
"ARCOM@C039",,"Zénith",,"",49.172363,-0.380473,,,1,,,1,,
"COM_indu01_1",,"Industrie",,"",49.157310,-0.326540,,,1,,,1,,
"COM_egou02_1",,"Ouistreham Eglise",,"",49.276676,-0.257101,,,1,,,1,,
"COM_lmhl01",,"Haut Lion",,"",49.301414,-0.326430,,,1,,,2,,
"COM_cocv02",,"Collevillette",,"",49.286259,-0.287925,,,1,,,2,,
"COM_jufe02",,"Jules Ferry",,"",49.185234,-0.288319,,,1,,,1,,
"COM_gala01",,"Galante",,"",49.303738,-0.326545,,,1,,,1,,
"ARCOM@STA022",,"Luxembourg",,"",49.120934,-0.378349,,,1,,,1,,
"COM_queb11",,"Palais des Sports",,"",49.171848,-0.385910,,,1,,,1,,
"COM_rofr02",,"Rostand Fresnel",,"",49.162003,-0.353952,,,1,,,1,,
"COM_bray01",,"Bray",,"",49.226650,-0.489430,,,1,,,2,,
"COM_poin16",,"Poincaré",,"",49.165367,-0.342732,,,1,,,2,,
"COM_ousc02_1",,"Sacré Coeur",,"",49.277397,-0.262536,,,1,,,2,,
"COM_LMP02",,"Lion Plage",,"",49.305935,-0.323951,,,1,,,2,,
"COM_toura12",,"Touraine",,"",49.194538,-0.398753,,,1,,,2,,
"ARCOM@PUT020",,"Primevères",,"",49.213516,-0.540339,,,1,,,2,,
"COM_mlk02",,"Martin Luther King",,"",49.134918,-0.288048,,,1,,,1,,
"COM_rvip2",,"Poste A",,"",49.206848,-0.307756,,,1,,,2,,
"COM_mfca02",,"Le Fresne Mairie",,"",49.257324,-0.488338,,,1,,,2,,
"COM_clas02",,"Collines",,"",49.231010,-0.468809,,,1,,,2,,
"COM_chec02",,"Cheux Ecole",,"",49.163918,-0.527962,,,1,,,2,,
"COM_pel01_1",,"Pèlerins",,"",49.268593,-0.261267,,,1,,,1,,
"COM_gira01_1",,"Girafe",,"",49.206795,-0.367762,,,1,,,1,,
"COM_rdim02",,"Rue de la Dîme",,"",49.233833,-0.520547,,,1,,,2,,
"COM_ecco22_1",,"Colombelles Ecole",,"",49.203407,-0.302688,,,1,,,1,,
"COM_rbui02_1",,"Buisson",,"",49.169239,-0.416112,,,1,,,1,,
"COM_fmou01",,"Francois Mourier",,"",49.203743,-0.306060,,,1,,,2,,
"COM_psld01",,"Périers Mairie",,"",49.257477,-0.339325,,,1,,,2,,
"ARCOM@BIE020",,"Clos Bosquin",,"",49.240646,-0.326808,,,1,,,1,,
"COM_chha02",,"Chemin de Halage",,"",49.207005,-0.315907,,,1,,,1,,
"COM_lmbl02",,"Bas Lion",,"",49.302258,-0.318806,,,1,,,1,,
"COM_l3va01",,"Les 3 Vallées",,"",49.204365,-0.293391,,,1,,,1,,
"COM_frat01",,"Fraternité",,"",49.205593,-0.288449,,,1,,,2,,
"COM_bist01",,"Biéville Stade",,"",49.243614,-0.333573,,,1,,,1,,
"COM_crre02",,"Creux au Renard",,"",49.170097,-0.402969,,,1,,,1,,
"COM_rimb01",,"Rimbaud",,"",49.208977,-0.290385,,,1,,,2,,
"COM_poou02",,"Ouistreham Port",,"",49.279469,-0.250730,,,1,,,2,,
"COM_hmbb01",,"Blanc Bois",,,49.280251,-0.315435,,,1,,,2,,
"COM_bbrh01_1",,"Rue du Home",,"",49.245590,-0.330482,,,1,,,2,,
"COM_libt21",,"Liberté",,"",49.161068,-0.342829,,,1,,,1,,
"COM_libec11",,"Libéra",,"",49.188610,-0.299402,,,1,,,1,,
"COM_hmcr02",,"Croix Rose",,"",49.281288,-0.316987,,,1,,,2,,
"COM_laza02_1",,"Lazzaro",,"",49.200748,-0.293407,,,1,,,2,,
"COM_mifa01",,"Michel Farré",,"",49.185925,-0.303003,,,1,,,1,,
"COM_masa01",,"Saint-Aubin Mairie",,"",49.260590,-0.286682,,,1,,,1,,
"COM_cale01_1",,"Carrefour de Lebisey",,"",49.213913,-0.340513,,,1,,,1,,
"COM_egbe02",,"Bénouville Eglise",,"",49.246521,-0.276344,,,1,,,2,,
"COM_becq02",,"Becquet",,"",49.278896,-0.298238,,,1,,,1,,
